width|height|background
914|978|-16774106
shape|x|y|border|color|size
square|-400|400|6|-16737844|800.0
square|-390|390|4|-724248|780.0
square|-380|380|4|-5435392|760.0
square|-370|370|2|-724248|740.0
square|-360|360|3|-16737844|720.0
square|-350|350|2|-2972392|700.0
square|-340|340|4|-5435392|680.0
square|-320|320|4|-5435392|640.0
square|-310|310|2|-724248|620.0
square|-300|300|2|-16737844|600.0
square|-160|160|4|-5435392|320.0
square|-140|140|2|-724248|280.0
square|-120|120|3|-16737844|240.0
square|-100|100|2|-2972392|200.0
circle|-14|160|4|-5435392|160.0
circle|-12|140|2|-724248|140.0
circle|-10|120|3|-16737844|120.0
circle|-9|100|2|-2972392|100.0
square|-60|60|2|-724248|120.0
square|-40|40|2|-5435392|80.0
circle|-5|60|2|-16737844|60.0
circle|-3|40|2|-2972392|40.0
circle|-2|20|4|-724248|20.0
square|-5|5|1|-5435392|10.0
equilateral_triangle|-20|40|1|-724248|20.0
equilateral_triangle|0|40|1|-2972392|20.0
equilateral_triangle|-20|-40|1|-724248|20.0
equilateral_triangle|0|-40|1|-2972392|20.0
circle|-2|250|2|-2972392|20.0
circle|-1|240|2|-724248|10.0
square|-10|240|1|-5435392|20.0
circle|-2|-210|2|-2972392|20.0
circle|-1|-220|2|-724248|10.0
square|-10|-220|1|-5435392|20.0
circle|-232|20|2|-2972392|20.0
circle|-231|10|2|-724248|10.0
square|-240|10|1|-5435392|20.0
circle|228|20|2|-2972392|20.0
circle|229|10|2|-724248|10.0
square|220|10|1|-5435392|20.0
square|-290|290|2|-5435392|100.0
square|-280|280|2|-724248|80.0
square|-270|270|2|-16737844|60.0
circle|-244|290|2|-2972392|50.0
circle|-243|280|2|-5435392|40.0
circle|-243|270|2|-724248|30.0
circle|-242|260|2|-16737844|20.0
circle|-241|250|2|-2972392|10.0
square|190|290|2|-5435392|100.0
square|200|280|2|-724248|80.0
square|210|270|2|-16737844|60.0
circle|236|290|2|-2972392|50.0
circle|237|280|2|-5435392|40.0
circle|237|270|2|-724248|30.0
circle|238|260|2|-16737844|20.0
circle|239|250|2|-2972392|10.0
square|-290|-190|2|-5435392|100.0
square|-280|-200|2|-724248|80.0
square|-270|-210|2|-16737844|60.0
circle|-244|-190|2|-2972392|50.0
circle|-243|-200|2|-5435392|40.0
circle|-243|-210|2|-724248|30.0
circle|-242|-220|2|-16737844|20.0
circle|-241|-230|2|-2972392|10.0
square|190|-190|2|-5435392|100.0
